Gene ID	Gene Symbol	
851421	PPH21	
856169	TFB4	
855439	POP3	
855544	MRPL22	
852918	POP6	
850775	SMC4	
856070	EGD1	
854497	HSH49	
856499	TRA1	
853255	GON7	
852424	VMA2	
852947	RSC1	
853168	PUP2	
853260	PFD1	
851074	VPS38	
851478	RPP1A	
855543	RPS3	
853942	BET3	
853877	RSC4	
853509	ISY1	
854444	VPH1	
852889	PRP18	
856486	NAM8	
854822	PAN1	
851160	MRPL4	
855626	PHO23	
855404	RFA2	
856309	HDA3	
851140	RPN13	
853397	MTR4	
856119	RPA135	
856598	CTF8	
852814	SGF73	
853960	MRPL20	
855174	RPS16A	
853737	SRP21	
855477	SUI1	
854509	VMA4	
855002	MRPL39	
854345	MED4	
853275	TPK1	
853090	OKP1	
855459	POL2	
855888	LEA1	
850764	RPL10	
853527	CCT5	
850909	TUB4	
855898	TPK2	
852903	VMA7	
851100	IKI3	
851310	RRI1	
852096	VPS72	
851082	RPS22B	
853177	APL6	
851408	RPN5	
850882	RPL37A	
854939	RPS1B	
852611	DOC1	
851937	MRPS28	
851212	CCR4	
855143	ASC1	
854123	SMC5	
856388	RPL14B	
855964	UME1	
851921	MRPL35	
856214	MRPL51	
852834	RPT6	
852681	HOS2	
854960	PRP39	
855744	CSE2	
853687	MRP49	
856168	SEC8	
856911	CHD1	
853147	NAS6	
853499	NUP85	
855253	CEF1	
856355	ECM29	
851882	NSE3	
851220	DEP1	
852421	TFC1	
855771	ARC35	
853393	PEP8	
855155	STO1	
855471	RAD50	
856731	PRE1	
851931	GPI8	
853071	TIF4631	
856595	GPI16	
850383	MAK31	
854956	RSE1	
854263	RPS7A	
856801	RNR1	
852780	USE1	
851058	RPL26A	
854786	IRR1	
851988	YRA1	
856695	MMS21	
854392	RFC1	
854681	KGD1	
852969	PAC10	
855700	HHT2	
853688	TPK3	
850941	VPS34	
851934	SWR1	
851784	RAV2	
850554	RPN11	
854898	BET5	
855226	MRPS17	
852194	CDC27	
853029	UTP8	
854664	CCT2	
854330	SME1	
853864	RPL14A	
854734	SEC28	
852188	MRP21	
850320	SRO9	
854227	CKA2	
850810	SRN2	
850610	YMR31	
856297	NUT2	
854663	SSL2	
854749	SNP1	
851453	NSE4	
850422	PWP2	
852059	ADA2	
856603	UTP9	
852675	EMP24	
856404	ARD1	
852853	RPL30	
853333	CCT7	
851744	SEC5	
855710	HDA1	
856544	RPL42B	
856222	YTH1	
854825	PRI1	
852184	ROX3	
852974	GCD2	
855585	NAM9	
852742	RPL1B	
852373	SPT7	
853781	TEF4	
856154	TIF5	
854791	RPB3	
852987	RRP46	
853427	RNR2	
851169	RPL6B	
852472	SWD3	
855569	GIM3	
854213	RAT1	
856746	GCD11	
852468	NPL4	
854059	RFC4	
853498	URB2	
851441	NUP84	
851990	RPP2B	
855609	RPC19	
855985	MRP51	
850702	BRE2	
853531	RFC2	
851726	KGD2	
850716	RPL15A	
852732	TIP20	
853264	SWI3	
851611	RSM10	
853871	PAP1	
851895	CFT1	
854290	LEO1	
851071	RSC2	
850534	IES1	
852327	ATP3	
854776	CKA1	
854085	NUF2	
853266	RFA3	
854029	RPL18A	
853895	RPC37	
856136	CCL1	
850344	DCC1	
853610	RPS4A	
853713	RPC25	
855173	RPL13B	
852763	SNF4	
850983	YSH1	
851653	VPS41	
856870	GLC7	
855303	TPS3	
853853	ATP7	
855399	PFS2	
855930	MRPL40	
852983	PRP31	
852966	PRP38	
851768	CCT6	
853933	TIF1	
855190	MRPS8	
855180	SWP1	
850774	ARP6	
856183	MED1	
856062	VPS16	
850540	SMC1	
855264	MRE11	
853293	RPA34	
855116	NPL6	
850905	SEC13	
856459	RPP1	
852819	DUO1	
853456	PRE3	
856743	SRB4	
851559	MED2	
855460	ORC5	
852073	MRPL28	
852402	VID24	
854034	PAP2	
855701	HHF2	
853227	PRP21	
854928	CTK3	
855102	CTF18	
854149	HRD1	
851122	RPL31B	
851645	SNF11	
855118	UTP15	
856610	RPS4B	
856100	TFC8	
850597	CDC26	
852996	SRB5	
856218	PRE2	
853364	ARP4	
852371	RPG1	
856065	SSN3	
855415	RPL18B	
856360	SNF6	
852344	PRP6	
851136	CDC73	
856918	RAD3	
855283	RPL20A	
856654	HAT2	
854882	PRE8	
850981	SMD2	
854162	RRP6	
852512	AME1	
850552	NIC96	
850741	IES3	
851168	VMA6	
852053	SSN2	
852044	GPI17	
852561	SHG1	
853701	RSM22	
852964	SMD1	
854485	SNU66	
853376	UTP18	
852975	MRP13	
853555	FIP1	
852553	MRPS5	
855500	POP1	
851811	HTA1	
854742	SEC6	
855025	CLU1	
852082	RPL27B	
856186	NOT5	
850495	SWP82	
853010	DAM1	
855463	DSL1	
851897	RSC3	
853846	CDC16	
851477	RPL13A	
855640	END3	
853896	GCN3	
854658	RPL40A	
856839	RPS8B	
854387	STE4	
852873	SCL1	
855491	ELA1	
850399	SNT1	
851521	NAT1	
852896	SNU71	
850889	HCR1	
854427	NAT5	
852982	UTP22	
853479	LSM8	
852487	RPS9B	
853301	RPB4	
852411	RAD16	
855920	CTI6	
851379	AIR2	
855468	TEX1	
855499	SSU72	
853135	MRPL9	
851256	ERV46	
850807	MSL5	
852591	APM3	
853900	SET3	
852180	BRN1	
851647	PPH3	
852245	POL12	
854017	SPT20	
855727	MRP7	
855655	RPL16B	
854741	RPS24B	
853109	SKI6	
851903	SRB7	
856226	RPC40	
855881	RPL1A	
852659	SKI8	
853153	KEL2	
855536	MRPL19	
856094	MRPS16	
854284	RPT5	
856015	RPS6A	
856607	RPN10	
854694	HOS4	
851948	MRP1	
853442	RPC17	
852535	DAD3	
852489	RPL21A	
853856	ARC19	
852852	RPL24A	
856143	NTO1	
851821	PRP42	
853287	VPS35	
850401	RRP43	
856776	RSM18	
856519	SET1	
856146	ARP7	
855960	RPL33A	
855706	SSN8	
852337	RPS11B	
852773	ARC1	
850589	SMC2	
850638	HIF1	
850863	SEC10	
852416	MUD1	
853423	VPS53	
852469	SEC66	
852276	SLA1	
854872	TSL1	
852032	SIP1	
851389	CDC36	
854242	UFE1	
855624	OCA1	
853463	SUI2	
854428	SEC63	
852425	ATG14	
851200	POP5	
854489	RPL20B	
850998	GCD7	
856715	GIM4	
855224	HSC82	
853114	ELP2	
855675	COX5A	
855271	PEP5	
854468	RPS10A	
855891	SRP72	
851615	RPC11	
850598	RSC8	
851378	YDL176W	
854321	MRPL23	
851161	SEC39	
854680	STH1	
853526	RPA12	
856853	RPL23B	
855386	RPD3	
856437	SRB2	
850792	APC9	
854399	RPB8	
855972	RPL5	
851557	RPT2	
856889	LSM5	
855974	TAF14	
851450	KIN28	
851832	MNN10	
855965	SPP1	
850318	GID7	
852177	ATP1	
851404	RPC53	
852095	VPS52	
852084	PRP3	
